Time t,theta 1,theta 2,theta 3,velocity theta 1,velocity theta 2,velocity theta 3
0,1,1,1,0,0,0
0.01,1,1,1,0.00112505,-0.0143712,0.0421317
0.02,1.00001,0.999856,1.00042,0.00225006,-0.0287436,0.0842684
0.03,1.00003,0.999569,1.00126,0.0033749,-0.0431274,0.126434
0.04,1.00007,0.999138,1.00253,0.00449944,-0.0575332,0.168651
0.05,1.00011,0.998562,1.00421,0.00562357,-0.0719714,0.210945
0.06,1.00017,0.997843,1.00632,0.00674716,-0.0864526,0.253339
0.07,1.00024,0.996978,1.00886,0.00787008,-0.100987,0.295857
0.08,1.00031,0.995968,1.01182,0.00899221,-0.115586,0.338523
0.09,1.0004,0.994812,1.0152,0.0101134,-0.13026,0.381363
0.1,1.00051,0.99351,1.01902,0.0112336,-0.14502,0.424402